Nombre,Lichess,Bullet,Bullet_Games,Blitz,Blitz_Games,Rapid,Rapid_Games,Classical,Classical_Games,Puzzle_Rating,Puzzles_Played,Storm,Storm_Attempts,Streak,Streak_Attempts,Racer,Racer_Attempts
5,DiegoAlexis123,0,0,683,22,561,28,1336,1,0,0,0,0,0,0,6,7
11,tito_23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,mosheamaya,0,0,0,0,0,0,0,0,1220,210,2,1,3,15,7,3
42,Ximepan,0,0,0,0,1107,2,0,0,1073,56,5,7,4,7,0,0
191,anny_yaret,974,10,785,44,743,41,1264,35,999,325,5,4,2,5,14,7
201,mattwentyonepilots,1323,24,1243,36,1139,45,1667,21,1411,13,15,8,14,39,24,16
207,Alex_1789,921,22,1015,39,963,58,1215,10,1060,6,8,42,4,48,14,12
208,joss_Mora,787,11,1044,63,1167,55,1475,43,1166,544,12,15,5,30,8,3
210,jose_715,1227,85,1296,217,1229,413,1580,1,1469,519,19,14,16,54,27,13
215,LeonOropeza,913,4,859,7,1088,18,1175,13,880,174,3,1,1,1,2,2
223,Es250931ke,655,18,776,37,853,41,1169,35,940,152,5,57,5,162,15,33
225,joel_mr_ajedrez,0,0,0,0,1491,4,0,0,1216,40,12,18,4,1,0,0
227,ym_p281219,739,8,708,21,860,9,1258,1,909,37,4,6,2,5,0,0
229,Rick_1908,1144,2,0,0,622,4,0,0,0,0,0,0,0,0,0,0
236,ZurielfloresAguilar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,Angel7o,957,117,899,87,810,21,0,0,1238,107,8,1,1,1,0,0
272,Meli_765,400,16,1021,40,1017,22,1281,10,1127,9,9,22,6,91,13,24
276,sospfd,0,0,1491,3,1046,23,0,0,1289,54,0,0,0,0,12,1
296,blakman30,1199,1,0,0,0,0,0,0,941,106,5,1,4,17,7,1
298,Pablitoo1312,0,0,0,0,1346,1,0,0,1101,5,0,0,5,13,0,0
312,treysi362,1392,1,1465,1,1277,1,0,0,0,0,7,7,10,51,6,1
331,Alexis-PelaezLop12,0,0,0,0,0,0,0,0,1051,4,0,0,1,1,0,0
332,Lus1,1184,3,708,18,464,3,694,3,880,16,0,0,1,3,0,0
347,Anacamila2012,873,11,823,20,818,20,1247,18,956,127,6,1,1,4,5,4
350,keylyn_cruz,0,0,654,3,1026,2,0,0,807,44,4,7,6,10,0,0
352,cesxr,0,0,702,6,1076,2,0,0,1405,1,0,0,3,3,0,0
355,marcosjesusgar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359,brayanjaviercarri,1045,42,1058,99,1037,60,1513,19,1167,236,8,7,4,24,15,9
364,Robertomj,887,13,957,38,1107,30,1441,6,1271,18,0,0,0,0,0,0
373,vanee_1680,1114,19,1123,46,983,39,1375,22,1163,148,6,26,3,4,16,38
382,sk_justin777,0,0,0,0,1230,1,0,0,0,0,0,0,0,0,0,0
383,DianaCarrera,1070,3,872,8,1084,43,1151,1,1148,541,8,15,8,7,13,11
384,M4rrtin_10,1222,1,762,3,0,0,1258,1,0,0,0,0,5,51,0,0
385,Tonachess5868,865,20,827,10,1818,1,0,0,1242,149,9,3,5,6,12,5
386,Santiago1233,1075,33,932,40,1235,2,1302,4,1212,175,10,10,5,13,17,7
387,ReyesKeniaSoriano,1113,17,1135,17,1314,4,1669,8,1778,1179,14,46,15,22,18,25
388,CarlosAlexisV,976,35,923,3,922,26,1253,7,1053,65,8,8,6,18,15,14
389,ElmundoDelAjedrez,954,35,1090,69,1248,37,1560,22,1173,486,4,5,0,0,16,11
390,flipo11,1300,11,0,0,1124,35,0,0,1531,20,12,3,18,12,17,5
391,Enrique3456,1708,556,1562,132,1823,127,1976,67,1381,36,0,0,0,0,0,0
392,Leonardocoello,0,0,902,7,1125,42,0,0,1259,550,11,6,11,24,0,0
393,Ramces-V-R,0,0,0,0,1230,3,0,0,1157,70,11,3,3,1,0,0
395,terkina17_07,0,0,644,2,0,0,0,0,1003,7,0,0,0,0,0,0
398,Cinthiasan,630,24,654,56,675,19,0,0,937,6,3,18,0,0,0,0
399,liasndro,1139,39,931,68,836,73,1372,5,1218,18,8,2,0,0,16,10
400,ari_hrdz,1702,1,930,49,667,23,1048,2,881,54,6,7,5,22,5,3
404,AngelJonathan,1152,22,1140,34,1285,46,0,0,1373,82,11,8,14,4,17,11
406,truper21,1286,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
407,luisinzano,1073,6,910,31,873,5,0,0,704,54,0,0,0,0,0,0
408,joscas456,1498,5,659,29,932,2,0,0,0,0,0,0,0,0,6,2
409,chessquenm,0,0,526,32,684,5,0,0,1421,1,0,0,0,0,0,0
410,AmyBurbuja,549,20,735,31,883,10,945,2,1305,152,10,9,12,170,15,53
411,HelloKittyD,1073,24,923,39,948,23,1340,5,1280,80,10,9,11,78,18,24
412,VegaStarValentina,782,24,688,29,795,23,0,0,1071,199,7,12,11,54,13,44
418,David3Ramirezcruzz,0,0,1054,2,544,7,0,0,1779,2,0,0,0,0,0,0
420,guer_272_37737378229,1088,2,855,6,429,3,0,0,1051,19,0,0,0,0,0,0
423,calitos0_0,0,0,0,0,975,12,0,0,0,0,0,0,0,0,0,0
431,rousmery,0,0,969,3,1229,6,1211,1,924,167,4,11,5,8,1,1
432,aajedre,1230,1,920,12,811,5,0,0,0,0,0,0,0,0,0,0
433,Erick1234567,0,0,0,0,1102,11,0,0,1260,23,0,0,0,0,0,0
436,abikamato02,1132,8,1029,5,931,7,0,0,1466,6,3,1,2,7,0,0
