Nombre,Lichess,Género,Bullet,Bullet_Games,Blitz,Blitz_Games,Rapid,Rapid_Games,Classical,Classical_Games,Puzzle_Rating,Puzzles_Played,Storm,Storm_Attempts,Streak,Streak_Attempts,Racer,Racer_Attempts
84,VegaStarValentina,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Elisa_08,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,HelloKittyD,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,ShaChess007,m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,matchessbg,m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,AmyBurbuja,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Erickvic,m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Ilian-Yunito,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,MVFP,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Emily-Jazmin,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Neithan_01,m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Daniel_1225,m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,QuetzalliEducares,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,teohdez,m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Sebas-24,m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,TaisiaLLM,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,RubeRodriNetza,m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Hermoony,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Fer-Vega,m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Kileab89,m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Nestebansm,m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Nutella0102,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,PaoNatAjedrez,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,NathChess8,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Geniomate22,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Ponyo16,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,kar02-edu25,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Zasu0708,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Dianitahehe,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,KarlaPaolaCH,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Mich_25601,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Liam987r8403,m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,SantiagoAntonio-9,m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Aitana64822,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Brrbrrpatatim,m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Danielabarzat,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Jimenabarzat,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,AjedrezNomada,m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Kyara_422,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,AlissonKailaniS,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Regina_Aimee,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,XimenaTrujillo,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,JorgeLa,m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Emyr211602,m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,MarlenePrincess,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Dani0909_Cruz,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Escamilla17,m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Dannitaaa,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,ElisSan,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,EspiaPatos3000,m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,MartiSebas,m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Lucyrom,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,CapibaraRose,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,JulyIsa,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Linazadri1016,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,EARG_22ARLETH,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Vic_Gemininiano,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
