Nombre,Lichess,Género,Bullet,Bullet_Games,Blitz,Blitz_Games,Rapid,Rapid_Games,Classical,Classical_Games,Puzzle_Rating,Puzzles_Played,Storm,Storm_Attempts,Streak,Streak_Attempts,Racer,Racer_Attempts
5,DiegoAlexis123,m,651,8,577,26,555,45,1320,3,1114,311,0,0,4,20,15,11
11,tito_23,m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,mosheamaya,m,849,67,618,17,0,0,0,0,1094,240,2,2,3,17,10,8
42,Ximepan,f,0,0,1148,6,829,14,976,6,1065,58,5,14,6,26,0,0
191,anny_yaret,f,893,41,788,49,756,57,1171,63,1074,905,8,10,5,25,14,10
201,mattwentyonepilots,m,1155,67,1280,54,1180,104,1605,83,1817,411,16,18,15,74,24,28
207,alex_1789,m,898,104,988,47,920,121,1178,46,1060,6,10,70,8,59,17,17
208,joss_Mora,f,969,83,995,136,1049,168,1409,124,1305,1875,15,27,9,86,28,35
210,Jose_716,m,1228,46,1086,2,1358,50,1521,21,1733,328,19,5,17,16,0,0
215,LeonOropeza,m,913,4,859,7,1065,19,1175,13,880,174,3,1,1,1,2,2
223,Es250931ke,f,726,85,823,74,838,157,1135,115,1191,623,10,146,9,302,22,137
225,joel_mr_ajedrez,m,1283,1,959,4,1331,5,1397,9,1216,40,13,25,13,7,0,0
227,ym_p281219,f,739,8,707,22,716,60,892,27,1086,527,8,40,7,115,0,0
229,Rick_1908,m,913,58,799,231,750,26,1328,20,1263,4745,0,0,0,0,16,2
236,ZurielfloresAguilar,m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,Angel7o,m,974,119,934,157,865,31,1380,10,1315,245,10,3,4,5,0,0
272,Meli_765,f,776,66,947,53,962,90,1260,47,1090,45,10,33,6,139,14,26
276,sospfd,m,0,0,1218,10,1028,41,0,0,1289,54,13,9,11,21,24,6
296,blakman30,m,727,10,0,0,856,22,0,0,1020,274,5,3,8,77,9,2
298,Pablitoo1312,m,0,0,0,0,1250,2,0,0,1046,6,5,4,5,22,0,0
312,treysi362,f,871,34,968,31,1021,53,1363,47,1587,256,7,7,10,93,11,2
331,Alexis-PelaezLop12,m,784,2,1305,1,627,22,834,16,909,44,0,0,2,12,12,3
332,Lus1,f,593,19,504,30,450,25,549,15,811,32,2,1,3,25,6,1
347,Anacamila2012,f,706,43,681,26,886,43,1166,48,1187,381,6,1,4,8,12,11
350,keylyn_cruz,f,1382,3,654,3,727,21,1269,6,1083,119,4,12,6,39,0,0
352,cesxr,m,0,0,818,31,802,16,1178,2,1530,61,21,23,20,45,23,23
355,marcosjesusgar,m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359,brayanjaviercarri,m,956,102,1065,111,1035,129,1459,50,1350,372,11,15,10,33,15,9
364,Robertomj,m,844,15,937,41,1051,61,1474,9,1539,137,14,25,15,100,18,10
373,vanee_1680,f,980,136,1013,85,1021,110,1319,95,1302,815,13,47,10,115,25,80
382,sk_justin777,m,886,1,0,0,1009,3,0,0,1537,4,0,0,0,0,0,0
383,DianaCarrera,f,1070,3,676,10,1132,44,1151,1,1148,541,8,15,8,12,13,11
384,M4rrtin_10,m,1238,4,762,3,892,4,919,4,1026,65,8,8,5,51,17,3
385,Tonachess5868,m,865,20,649,21,1140,5,0,0,1243,167,9,5,5,8,12,7
386,Santiago1233,m,1053,34,915,41,1235,2,1302,4,1160,180,10,10,5,13,17,7
387,ReyesKeniaSoriano,f,1113,17,1163,18,1496,15,1498,21,1819,1259,14,50,15,22,18,25
388,CarlosAlexisV,m,806,63,977,5,919,27,1325,19,1243,128,11,13,7,43,16,20
389,ElmundoDelAjedrez,f,1020,51,1087,70,1166,59,1450,32,1267,1037,11,10,9,16,16,17
390,flipo11,m,1040,20,911,66,1200,111,1305,52,1932,333,16,14,28,55,24,40
391,Enrique3456,m,1818,704,1611,166,1793,179,2027,76,1308,37,0,0,0,0,0,0
392,leocoello2,m,1159,126,1121,71,1166,117,1514,46,1586,111,16,3,18,18,20,7
393,Ramces_V_R,m,0,0,1186,2,1637,1,0,0,1378,202,0,0,0,0,0,0
394,peperoni19,m,0,0,1373,2,0,0,1207,1,974,5,4,3,0,0,6,4
395,terkina17_07,f,0,0,497,3,0,0,0,0,795,54,0,0,0,0,1,1
397,yeufha,m,605,5,541,9,0,0,0,0,0,0,0,0,0,0,0,0
398,Cinthiasan,f,630,24,654,56,675,19,0,0,937,6,3,18,0,0,0,0
399,liasndro,m,1139,39,905,75,836,73,1372,5,1218,18,9,5,0,0,16,16
400,ari_hrdz,f,1702,1,930,49,667,23,1048,2,881,54,6,9,5,22,6,4
401,Pagano,m,1724,9,1460,39,0,0,0,0,1222,8,9,2,0,0,12,9
402,CAPGABRIEL,m,1011,3,661,9,1401,1,0,0,1137,15,0,0,1,1,8,6
404,AngelJonathan,m,1152,22,1140,34,1285,46,0,0,1373,82,14,13,14,4,19,19
406,truper21,m,1286,1,0,0,0,0,0,0,0,0,6,3,0,0,12,4
407,luisinzano,m,1073,6,910,31,873,5,0,0,704,54,4,5,0,0,8,5
408,joscas456,m,1498,5,659,29,932,2,0,0,807,32,0,0,0,0,6,7
409,chessquenm,f,0,0,526,32,684,5,890,4,1421,1,0,0,0,0,4,2
410,AmyBurbuja,f,737,35,735,31,844,21,1153,12,1719,1024,17,23,15,512,19,65
411,HelloKittyD,f,974,42,961,41,954,44,1209,24,1334,711,13,20,16,116,21,35
412,VegaStarValentina,f,831,37,695,31,795,23,937,4,1121,311,7,14,11,55,13,47
416,DANIELMORALESPEREZ,m,1116,2,987,10,589,82,1015,7,915,70,1,1,0,0,0,0
417,pou226,m,1146,3,0,0,982,4,1243,9,811,23,1,1,0,0,0,0
418,David3Ramirezcruzz,m,0,0,1054,2,544,7,0,0,1779,2,0,0,0,0,0,0
419,Rojas_laureano_juan9,m,755,2,1226,1,638,9,1279,1,816,165,5,9,0,0,10,5
420,guer_272_37737378229,m,1088,2,855,6,429,3,0,0,1051,19,0,0,0,0,0,0
422,Emmanueeeel,m,0,0,0,0,706,2,0,0,0,0,0,0,0,0,0,0
423,calitos0_0,f,0,0,0,0,975,12,0,0,0,0,0,0,0,0,0,0
427,Mauricioleyva,m,850,5,699,3,800,1,0,0,0,0,0,0,0,0,0,0
428,Alexis281,m,695,21,687,17,887,5,1135,6,1245,1,0,0,0,0,0,0
429,javierjaviwo,m,537,16,570,14,799,21,872,21,1117,755,9,36,6,20,0,0
431,rousmery,m,912,3,887,10,1023,18,1031,18,904,250,4,11,5,8,1,1
432,aajedre,f,987,31,741,22,764,36,1237,17,1066,44,0,0,0,0,0,0
433,Erick1234567,m,0,0,0,0,1102,11,0,0,1260,23,0,0,0,0,0,0
435,sara_leri17,m,0,0,0,0,0,0,1176,2,0,0,0,0,1,1,0,0
436,abikamato02,f,1106,10,994,6,877,8,1100,1,1466,6,3,1,2,7,11,3
437,purmerc,m,0,0,1742,1,810,2,0,0,0,0,0,0,0,0,0,0
442,gokuuqt,f,969,2,885,5,0,0,0,0,981,7,0,0,0,0,0,0
445,Eru180711,m,969,13,828,2,1196,52,1456,18,1395,2,0,0,0,0,2,1
