Nombre,Lichess,Género,Bullet,Bullet_Games,Blitz,Blitz_Games,Rapid,Rapid_Games,Classical,Classical_Games,Puzzle_Rating,Puzzles_Played,Storm,Storm_Attempts,Streak,Streak_Attempts,Racer,Racer_Attempts
5,DiegoAlexis123,m,768,2,683,22,522,37,1336,1,0,0,0,0,0,0,6,7
11,tito_23,m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,mosheamaya,m,0,0,0,0,0,0,0,0,1220,210,2,1,3,15,7,3
42,Ximepan,f,0,0,0,0,1107,2,0,0,1073,56,5,7,4,7,0,0
191,anny_yaret,f,715,26,785,44,743,41,1264,35,833,400,5,4,3,9,14,7
201,mattwentyonepilots,m,1285,41,1243,36,1139,45,1667,21,1404,58,15,9,14,56,24,16
207,alex_1789,m,921,22,1015,39,963,58,1215,10,1060,6,8,43,4,52,14,12
208,joss_Mora,f,950,30,1044,63,1178,67,1475,43,1183,562,12,17,5,32,8,3
210,jose_715,m,1193,90,1296,217,1229,413,1580,1,1469,519,19,14,16,54,28,18
215,LeonOropeza,m,913,4,859,7,1088,18,1175,13,880,174,3,1,1,1,2,2
223,Es250931ke,f,655,18,776,37,853,41,1169,35,940,152,5,57,5,164,15,33
225,joel_mr_ajedrez,m,0,0,0,0,1491,4,0,0,1216,40,12,18,4,1,0,0
227,ym_p281219,f,739,8,708,21,778,14,1258,1,909,37,4,6,2,5,0,0
229,Rick_1908,m,1144,2,1008,9,622,4,0,0,0,0,0,0,0,0,0,0
236,ZurielfloresAguilar,m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,Angel7o,m,954,118,833,98,810,21,0,0,1238,107,8,1,1,1,0,0
272,Meli_765,f,791,30,1021,40,954,30,1281,10,1127,9,9,22,6,110,13,24
276,sospfd,m,0,0,1491,3,1046,23,0,0,1289,54,0,0,0,0,12,1
296,blakman30,m,934,3,0,0,0,0,0,0,962,133,5,1,4,34,7,1
298,Pablitoo1312,m,0,0,0,0,1346,1,0,0,1101,5,0,0,5,13,0,0
312,treysi362,f,1392,1,1465,1,1277,1,0,0,0,0,7,7,10,83,6,1
331,Alexis-PelaezLop12,m,0,0,0,0,0,0,0,0,882,9,0,0,1,1,0,0
332,Lus1,f,1184,3,708,18,464,3,694,3,880,16,0,0,1,3,0,0
347,Anacamila2012,f,873,11,823,20,818,20,1247,18,956,127,6,1,1,4,5,4
350,keylyn_cruz,f,0,0,654,3,1026,2,0,0,807,44,4,7,6,10,0,0
352,cesxr,m,0,0,702,6,972,5,0,0,1231,6,8,20,3,17,14,22
355,marcosjesusgar,m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359,brayanjaviercarri,m,1053,43,1058,99,1037,60,1513,19,1172,237,8,7,4,24,15,9
364,Robertomj,m,887,13,957,38,1068,35,1441,6,1213,35,10,7,9,21,0,0
373,vanee_1680,f,995,37,1123,46,983,39,1375,22,1163,148,6,26,3,4,16,38
382,sk_justin777,m,886,1,0,0,1009,3,0,0,0,0,0,0,0,0,0,0
383,DianaCarrera,f,1070,3,872,8,1132,44,1151,1,1148,541,8,15,8,7,13,11
384,M4rrtin_10,m,1222,1,762,3,1308,1,1258,1,1174,43,8,8,5,51,17,2
385,Tonachess5868,m,865,20,827,10,1818,1,0,0,1242,149,9,3,5,6,12,5
386,Santiago1233,m,1053,34,932,40,1235,2,1302,4,1212,175,10,10,5,13,17,7
387,ReyesKeniaSoriano,f,1113,17,1135,17,1314,4,1669,8,1778,1179,14,46,15,22,18,25
388,CarlosAlexisV,m,865,52,923,3,919,27,1253,7,1158,87,8,9,7,23,15,16
389,ElmundoDelAjedrez,f,1020,51,1090,69,1248,37,1560,22,1173,486,4,5,0,0,16,11
390,flipo11,m,1300,11,0,0,1110,36,0,0,1531,20,12,4,18,12,17,5
391,Enrique3456,m,1705,560,1568,138,1786,129,1976,67,1381,36,0,0,0,0,0,0
392,leocoello2,m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
393,Ramces-V-R,m,0,0,0,0,1230,3,0,0,1157,70,11,3,3,1,0,0
394,peperoni19,m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
395,terkina17_07,f,0,0,497,3,0,0,0,0,1003,7,0,0,0,0,0,0
397,yeufha,m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
398,Cinthiasan,f,630,24,654,56,675,19,0,0,937,6,3,18,0,0,0,0
399,liasndro,m,1139,39,931,68,836,73,1372,5,1218,18,8,2,0,0,16,10
400,ari_hrdz,f,1702,1,930,49,667,23,1048,2,881,54,6,7,5,22,5,3
401,Pagano,m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
402,CAPGABRIEL,m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404,AngelJonathan,m,1152,22,1140,34,1285,46,0,0,1373,82,11,8,14,4,17,11
406,truper21,m,1286,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
407,luisinzano,m,1073,6,910,31,873,5,0,0,704,54,0,0,0,0,0,0
408,joscas456,m,1498,5,659,29,932,2,0,0,0,0,0,0,0,0,6,2
409,chessquenm,f,0,0,526,32,684,5,0,0,1421,1,0,0,0,0,0,0
410,AmyBurbuja,f,549,20,735,31,877,12,945,2,1279,211,10,9,14,226,15,53
411,HelloKittyD,f,1073,24,923,39,948,23,1304,6,1181,208,10,9,11,87,18,24
412,VegaStarValentina,f,782,24,688,29,795,23,0,0,1206,245,7,12,11,54,13,44
416,DANIELMORALESPEREZ,m,0,0,0,0,600,41,0,0,1081,36,1,1,0,0,0,0
417,pou226,m,1146,3,0,0,982,4,1243,9,811,23,1,1,0,0,0,0
418,David3Ramirezcruzz,m,0,0,1054,2,544,7,0,0,1779,2,0,0,0,0,0,0
419,Rojas_laureano_juan9,m,0,0,0,0,0,0,1279,1,777,86,1,1,0,0,3,1
420,guer_272_37737378229,m,1088,2,855,6,429,3,0,0,1051,19,0,0,0,0,0,0
422,Emmanuel,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
423,calitos0_0,m,0,0,0,0,975,12,0,0,0,0,0,0,0,0,0,0
427,Mauricioleyva,m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
428,Alexis281,m,864,6,841,7,1078,1,1151,1,0,0,0,0,0,0,0,0
429,javierjaviwo,m,630,13,520,11,808,12,978,15,1010,109,5,6,2,2,0,0
431,rousmery,f,0,0,969,3,1229,6,975,3,924,167,4,11,5,8,1,1
432,aajedre,m,1018,10,857,14,781,6,1290,5,0,0,0,0,0,0,0,0
433,Erick1234567,m,0,0,0,0,1102,11,0,0,1260,23,0,0,0,0,0,0
435,sara_leri17,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
436,abikamato02,m,1132,8,1029,5,931,7,0,0,1466,6,3,1,2,7,0,0
437,purmerc,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
442,gokuuqt,m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445,Eru180711,m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
446,mrbeasy288_4509,m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
