Nombre,Lichess,Género,Bullet,Bullet_Games,Blitz,Blitz_Games,Rapid,Rapid_Games,Classical,Classical_Games,Puzzle_Rating,Puzzles_Played,Storm,Storm_Attempts,Streak,Streak_Attempts,Racer,Racer_Attempts
1,Sa-ho-ri,f,727,40,855,35,823,35,1175,30,1181,357,7,10,12,56,14,20
2,GB_RV_DANIEL,m,788,16,696,23,1559,5,0,0,1014,1057,0,0,0,0,0,0
3,Briliar360,m,1042,20,789,11,832,18,0,0,880,295,5,7,10,60,18,8
4,Es-tre-lla,f,0,0,0,0,0,0,0,0,737,71,0,0,0,0,0,0
5,Byeol5415_6132,f,551,20,471,23,877,16,1328,5,1099,1739,4,2,5,139,0,0
6,Alfonso123123,m,903,14,684,161,858,62,1623,9,1136,162,5,2,13,45,11,18
7,luis_78_fran,m,679,17,618,22,685,14,1022,6,984,550,4,3,11,121,10,19
8,AlondraChess_B9,f,779,31,922,18,1034,13,0,0,1117,236,3,1,6,7,15,13
9,c4m1_67,f,476,23,511,15,593,12,0,0,832,287,2,2,4,37,10,19
10,Arely_Cp,f,447,15,717,15,760,21,0,0,786,173,0,0,1,6,8,13
11,Mariana_P-A,f,1102,41,1111,70,1155,28,0,0,1166,203,6,9,8,23,14,18
12,panchisco123,m,1167,1091,1216,1034,1197,97,1340,9,1864,862,17,9,13,8,18,9
13,Zam_Zaquero,m,814,60,933,65,1148,58,1409,26,1359,1016,5,8,6,93,19,20
14,Angel_Rom,m,802,47,1077,226,1291,59,1658,25,1784,3158,18,13,28,146,26,23
15,oscarmumita09,m,1142,26,1179,18,1496,2,0,0,1569,29,8,3,3,7,19,6
16,AngelBecerro,m,1602,514,1605,1494,1557,260,2020,19,1703,1173,22,10,34,205,39,12
17,Lord_Alexs,m,1087,65,1203,224,1359,37,1421,18,2024,2850,17,13,28,28,33,8
18,Jaquelineeep,f,1188,218,1108,402,982,166,1594,22,1494,1050,11,5,13,76,14,1
