PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
qY3MG,6r1/p1p4k/7p/3P1pq1/4P3/5Q1P/r4P2/1R3R1K w - - 0 30,b1b7 a2a3 b7c7 h7h8 c7c3 f5e4 f3g3 a3c3 g3c3 h8h7,2781,108,91,1183,crushing defensiveMove endgame veryLong,https://lichess.org/3xzSesDG#59,
5k46n,5rk1/p4p1p/1p2pQp1/3rP1N1/2q5/3n2P1/PP1R1P1P/1K1R4 w - - 4 28,h2h4 d5c5 a2a3 d3c1 d1c1 c4c1,2879,104,90,472,crushing long middlegame queensideAttack quietMove,https://lichess.org/B2rLEhvV#55,
ZMoQG,1r4k1/3n1ppp/2p1b3/4p3/4P3/b3B3/2Q2PPP/R2NqBK1 b - - 8 27,a3b2 a1b1 b2d4 b1b8 d7b8 e3d2 d4f2 d1f2,2723,98,93,973,crushing middlegame veryLong,https://lichess.org/evWsyfL5/black#54,
qvLKH,1r6/p4ppp/8/p1kP4/2P5/1P1K3P/5PP1/3B4 b - - 6 30,c5b4 d3d4 b8c8 d1e2,2783,105,84,459,advantage defensiveMove endgame short,https://lichess.org/zAX19XNv/black#60,
lPKck,6r1/8/1k3r2/Np5b/4pp2/1P6/1PP1NK2/2B2R2 w - - 3 37,b3b4 e4e3 f2e1 f6d6,2805,113,89,863,crushing defensiveMove middlegame short,https://lichess.org/71totnTk#73,
7ujRU,5rk1/p5p1/4p3/1bp1N3/6Rp/Q1P2P2/PPq3KP/4R3 w - - 2 28,g2g1 c2d2 e1f1 d2e3 f1f2 e3e1 g1g2 h4h3 g2h3 e1f2,2770,122,90,1005,crushing deflection fork middlegame veryLong,https://lichess.org/NJK3f4aQ#55,
9dpm2,1B6/8/1pp2b2/2p2k1p/p1P2PpP/PbNK2P1/1P6/8 w - - 2 42,b8c7 f6d4 c7b6 d4f2,2791,99,88,367,crushing endgame short,https://lichess.org/uf0mlq1A#83,
BwqHu,8/7p/4k1p1/1p4P1/1Pp5/2P1P3/7P/6K1 w - - 1 39,h2h4 e6f5 g1f2 f5g4 e3e4 g4h4 f2e3 h4g5 e3d4 g5f6 d4c5 f6e7 c5b5 h7h5,2779,115,89,756,crushing defensiveMove endgame pawnEndgame veryLong,https://lichess.org/Sg4eSvpR#77,
36QzQ,5r1k/3bn2p/2n3P1/3p1pQ1/2pP1P2/1pP1N1N1/1q4P1/1B2R1K1 b - - 0 27,h7g6 e3d5 f8f7 d5f6 f7f6 g5f6,2743,85,92,1012,crushing kingsideAttack long middlegame,https://lichess.org/xoiDWX2D/black#54,
eOmoS,8/8/p2K4/1p1p4/2pPk3/2P5/PP6/8 b - - 3 53,a6a5 a2a3 e4d3 d6d5 d3c2 d5c5 c2b2 d4d5 b5b4 a3b4,2751,87,91,1917,crushing endgame pawnEndgame quietMove veryLong,https://lichess.org/ittR5xst/black#106,
