PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
YSenN,6k1/5p1p/3p2p1/3P4/5P2/3RQ1P1/1q5r/4RrK1 w - - 8 36,g1f1 b2g2,1189,79,90,599,endgame mate mateIn1 oneMove,https://lichess.org/Yef00xVB#71,
1oPl8,8/2N5/3p4/p1p1p3/1r2k2R/2K5/P7/8 b - - 5 47,e4e3 c7d5 e3f3 d5b4,1168,75,95,9645,crushing endgame fork short,https://lichess.org/IxUJfPFN/black#94,
8zhy6,6rr/p1kq3b/1p2p2p/5p2/6P1/B1NP4/PPP1QPP1/R5K1 b - - 0 22,g8g4 e2e5 c7b7 e5h8,1185,77,94,19100,crushing fork middlegame short,https://lichess.org/kTlPS4pY/black#44,
cISk3,r1bq1rk1/p3npp1/1pn1p3/3pP1NQ/3P4/8/PP1N1PPP/R4RK1 b - - 3 13,f7f6 h5h7,1150,189,73,14,mate mateIn1 middlegame oneMove,https://lichess.org/GUCpIJxe/black#26,French_Defense French_Defense_Advance_Variation
5Uc0v,8/8/7K/7P/p7/1k6/8/8 w - - 1 48,h6g6 a4a3 g6g7 a3a2 h5h6 a2a1q,1192,114,60,36,advancedPawn crushing endgame long pawnEndgame promotion,https://lichess.org/AIYUZf3n#95,
LuuHO,5k2/5p2/4pB2/p2p4/5P2/8/3N2q1/1R2K3 b - - 13 40,f8g8 b1b8 g8h7 b8h8 h7g6 h8g8,1161,76,86,244,crushing endgame long,https://lichess.org/62JtprVj/black#80,
Sz6Lr,r2q3r/pbp2Q1p/1p3npk/7n/3P3P/2NB4/PPP2P2/2KR2R1 b - - 4 21,h8f8 g1g6 h7g6 f7g6,1199,75,95,1886,mate mateIn2 middlegame sacrifice short,https://lichess.org/eK5qagdr/black#42,
WA7IF,2k4r/1pp4q/p2p4/3Pp3/2PB2p1/3P2P1/PP2Qr1P/R5K1 w - - 0 26,d4f2 h7h2 g1f1 h2h1 f2g1 h8f8,1175,79,94,23398,crushing endgame kingsideAttack long,https://lichess.org/A9x91mEJ#51,
hFu42,r2q1rk1/2p2ppp/3bpn2/4N3/2PP3B/1Q6/1P3PPP/2KRR3 b - - 0 20,d6e5 d4e5 a8a1 c1c2 a1d1 e1d1,1150,79,94,3940,advantage long middlegame,https://lichess.org/qnCL6e6R/black#40,
w2ZGu,8/5p2/6kp/p1N2p2/P4p1b/3r4/2RN1KP1/8 w - - 4 41,f2e2 d3e3 e2d1 e3e1,1156,78,95,160,endgame mate mateIn2 operaMate short,https://lichess.org/hhROoUFK#81,
