PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
vVldg,r3kbnr/ppp3pp/2np1q2/4pp2/4P3/3P1N2/PPP3PP/RNBQ1RK1 b kq - 0 8,f5e4 f3g5 f6g6 g5f7 g6f7 f1f7,1992,78,92,3862,advantage attackingF2F7 long opening,https://lichess.org/cPm2Lle7/black#16,Kings_Gambit Kings_Gambit_Other_variations
GVKHe,8/6k1/2p1q2p/2Pp1Q2/3Pp1K1/4P3/7P/8 b - - 1 49,h6h5 g4f4 e6h6 f5g5,2034,75,93,1486,crushing defensiveMove endgame master queenEndgame short,https://lichess.org/5M9TjexO/black#98,
sEYew,8/7p/5pp1/3Q1k2/7P/1p2q1P1/6K1/8 b - - 2 62,f5g4 d5d7 g4h5 d7h7 e3h6 g3g4 h5g4 h7h6,2043,80,82,62,crushing deflection endgame queenEndgame veryLong,https://lichess.org/B7hV3n2O/black#124,
Ozgi7,3r2k1/3q1pp1/1b2p3/1p2P1N1/1P1P2PN/P6P/2Q2P2/6K1 b - - 0 34,d7d4 c2h7 g8f8 h4g6 f8e8 h7g8 e8d7 g8f7,1972,74,99,483,crushing deflection endgame veryLong,https://lichess.org/owi9BjCg/black#68,
Pogjj,r2r4/p4kbR/2p1n3/5bp1/N4q2/1P1p1B2/PBP4Q/5K1R w - - 8 38,h2f4 g5f4 h7g7 e6g7,1969,77,93,601,advantage master middlegame short,https://lichess.org/qildJF6t#75,
m6tpr,6rk/1p3p1p/p1pp1q2/8/2PbB3/7P/PP2QPP1/R4K2 w - - 0 26,a1b1 g8e8 e2f3 e8e4 f3f6 d4f6,1968,75,88,739,advantage endgame long,https://lichess.org/171Iofc7#51,
y7s1h,6k1/R5p1/8/1n1pp3/p1p5/P1Pn4/1P4r1/KR4B1 b - - 6 34,g2g1 a7a8 g8f7 b1g1,2040,80,90,3846,advantage endgame intermezzo short,https://lichess.org/SLqXZMKD/black#68,
ckKeM,1r1q1rk1/p2b1p2/3p1bpQ/8/1pB1Pp2/7P/PPPR4/2K4R b - - 1 24,f6g5 h6g6 g8h8 g6h5,2010,75,88,100,crushing kingsideAttack middlegame pin short,https://lichess.org/IILTBHel/black#48,
gN0CB,8/8/R4KP1/5P2/8/pp6/1k6/6r1 b - - 1 56,b2c2 a6a3 b3b2 a3a2 c2c3 a2b2,1957,92,70,58,crushing endgame long rookEndgame,https://lichess.org/lTTbGf4d/black#112,
LZ36G,r1b2rk1/b7/p3pB2/3p4/5Q1N/7R/2q2P1P/4R1K1 b - - 0 30,f8f6 f4f6 c2f2 f6f2 a7f2 g1f2,2022,75,85,340,advantage hangingPiece long middlegame,https://lichess.org/F23xOZRO/black#60,
