PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
izinH,8/5p2/4k3/4P1pP/1p2K3/8/8/8 b - - 0 40,f7f6 h5h6 b4b3 e4d3 b3b2 d3c2 b2b1r c2b1,1977,83,80,48,crushing endgame pawnEndgame veryLong,https://lichess.org/WoJY09od/black#80,
K4xjJ,r1br3k/5Rp1/p1p1p2p/3pB3/8/2P5/P1P1B1PP/2Kn4 b - - 0 19,d8d7 f7f8 h8h7 e2d3 g7g6 f8h8,1915,75,96,3655,kingsideAttack long master mate mateIn3 middlegame operaMate,https://lichess.org/aghmB1iL/black#38,
MuGOy,r3r1k1/pp1n2pp/2p1R1q1/3p1pB1/3P2P1/2PB1P2/P2Q3P/5RK1 b - - 0 21,e8e6 g4f5 g6f7 f5e6,2078,75,100,103,advantage fork middlegame short,https://lichess.org/ItuILOnw/black#42,
dkBGb,3q3k/pp4p1/2p1Q1Pp/7r/4PP2/P7/1P4P1/2R3K1 w - - 1 27,e6g4 d8d4 g1f1 h5h1 f1e2 d4e4 e2f2 e4d4,2005,83,80,40,crushing endgame veryLong,https://lichess.org/6jpqCouH#53,
urPdd,8/6pk/5r1p/1pQ2N1q/1Pb1p3/4P1PP/5P2/2R3K1 w - - 1 36,f5d6 h5f3 d6e4 f3e4,2009,75,95,4174,advantage endgame short,https://lichess.org/Xy2lIvU9#71,
LoVoM,5k2/R3b1pp/4p3/3pP3/3Pn1PP/4BN2/1r4K1/8 w - - 3 30,g2g1 b2b3 g1g2 b3e3,1912,78,90,1352,crushing endgame master short,https://lichess.org/qJVKTBrR#59,
syLIA,1r3nk1/4pp1p/q2p2p1/2pPPP2/br4P1/4QBNP/8/4RR1K b - - 0 33,b4b3 e3h6 d6e5 g3h5 a6f1 e1f1,2087,75,94,6865,crushing long middlegame quietMove,https://lichess.org/pmOwe3Ha/black#66,
9TeO1,r3r1k1/2bq1p1p/2p2Qb1/3p3P/1p1P4/P1P2N2/5PP1/R3R1K1 b - - 0 23,g6e4 h5h6 d7g4 e1e4 e8e4 f3g5 g4g5 f6g5,2057,75,89,998,advantage kingsideAttack middlegame sacrifice veryLong,https://lichess.org/YsYC9sZA/black#46,
AlwGe,5r1r/p5k1/2p3B1/3p2pP/4p1b1/1P2K1P1/P1P5/4RR2 b - - 3 32,g4h5 f1f8 g7f8 e1h1 h8h6 g6h5,1936,73,94,8055,clearance crushing endgame long,https://lichess.org/nlTW1RkG/black#64,
LkI5j,3r2rk/pp1q3p/2nPb3/1N2p1b1/4P3/1PQ2PB1/P3B1P1/2RR2K1 b - - 2 24,g5c1 g3e5 c6e5 c3e5 d7g7 e5g7 g8g7 d1c1,2018,75,88,1078,advantage kingsideAttack master middlegame veryLong,https://lichess.org/je8wg6er/black#48,
