PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
Ju3Jc,8/2R5/3kpn1p/2N1p1p1/1rp1P3/4BP2/4K1PP/8 b - - 0 32,d6c7 c5a6 c7c6 a6b4,1153,75,89,301,advantage endgame fork master short,https://lichess.org/eftstQGk/black#64,
ywi70,rnb1k2r/ppp2ppp/3bp3/q7/2BP4/2nQBN2/PPP2PPP/R3K2R w KQkq - 0 9,d3c3 d6b4 e3d2 b4c3,1163,108,60,30,crushing middlegame pin short,https://lichess.org/Zokx3qGH#17,Scandinavian_Defense Scandinavian_Defense_Main_Line
9FD6J,1rb1kb1r/5ppp/p1p1p2n/q2pP3/3P4/5NNP/PP3PP1/R1BQK2R w KQk - 3 13,d1d2 f8b4 e1g1 b4d2,1147,78,86,306,crushing middlegame pin short,https://lichess.org/OdJ3zuwN#25,Benoni_Defense Benoni_Defense_Old_Benoni
0RgFv,8/p1rk4/1p1pp3/4q2p/1P6/PK4R1/3Q2PP/8 b - - 1 37,e5d5 d2d5 e6d5 g3g7,1129,76,87,100,crushing endgame short,https://lichess.org/U672t5le/black#74,
OVIZG,5r1r/1p6/q2N2p1/6k1/4P3/2B3Q1/6PP/n5K1 b - - 6 37,g5h6 g3h4,1295,288,43,6,mate mateIn1 middlegame oneMove,https://lichess.org/wW5Mdh5J/black#74,
iFFps,8/6R1/1p4P1/8/1r3k2/7b/2BK4/8 b - - 0 54,b4b2 g7f7 f4e5 g6g7 b2c2 d2c2,1127,76,50,87,advancedPawn crushing endgame long,https://lichess.org/kVm5bdo4/black#108,
IrFbO,3k4/1pp5/1n3pNb/2Qp1q1P/8/1P6/P4PP1/6K1 b - - 1 42,f5h5 c5e7 d8c8 e7e8,1160,76,76,69,endgame mate mateIn2 short,https://lichess.org/pyXOFx8T/black#84,
TOjCp,5rk1/p1pb2pp/2p5/1p2q1N1/8/1P2P1R1/P1P3PP/5QK1 w - - 1 23,f1d3 e5a1 d3f1 f8f1,1117,83,93,3361,endgame kingsideAttack mate mateIn2 short,https://lichess.org/DQJoIxTt#45,
xjF9Z,5k2/8/1p4p1/2p5/2PbPP2/2n1B3/6BP/5K2 w - - 1 35,f1f2 c3d1 f2e1 d1e3,1170,76,90,630,crushing deflection endgame master short,https://lichess.org/HXno9ssW#69,
UXiKV,8/pppk1p2/8/6R1/3rn2P/6P1/PPP2P2/2KN4 w - - 7 28,g5g4 d4d1 c1d1 e4f2 d1e2 f2g4,1187,81,94,10824,advantage attraction endgame fork long,https://lichess.org/OcHigq0d#55,
