PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
57iFK,r4rk1/pp3p1p/3pb1p1/4b3/4N3/5BPq/PPP2P2/R2Q1RK1 b - - 2 17,f7f5 e4g5 h3h6 g5e6,1440,74,91,2274,crushing fork middlegame short,https://lichess.org/I2mu0Kgn/black#34,Pirc_Defense Pirc_Defense_Classical_Variation
Tfmx1,r4bk1/ppp2ppp/2q5/8/4b3/PR2B2P/2P2PP1/3Q1RK1 w - - 0 20,f2f3 e4c2 d1d2 c2b3,1437,75,92,2113,advantage fork middlegame short,https://lichess.org/bEFwJaaf#39,
sDeLd,8/4R1p1/k1b2p2/3p4/pR1B4/2P5/1PK4P/5q2 b - - 9 39,f1g2 c2b1 g2f1 b1a2,1552,75,57,343,crushing defensiveMove endgame short,https://lichess.org/bjlOwiis/black#78,
LKFtS,r4rk1/1b2Rp1p/p4Qp1/3q4/3N4/1P3P2/1pP3PP/1R4K1 b - - 0 20,a8d8 d4e6 d5e6 e7e6,1579,79,94,20315,advantage middlegame short,https://lichess.org/w6fNkX18/black#40,
ddqLY,3R4/p4Qpk/1p5p/2p1r3/8/P3q2P/1PP5/1K6 b - - 0 29,e3h3 f7g8 h7g6 d8d6 g6h5 g8f7,1468,76,89,1857,advantage endgame long,https://lichess.org/DOBQaOpM/black#58,
ksGtn,8/8/8/3pkbp1/2p3Bp/1pP1K2P/1P3PP1/8 w - - 6 44,g4f5 e5f5 e3d4 f5e6 d4c5 e6e5,1580,75,81,236,crushing defensiveMove endgame long,https://lichess.org/mKwwSoZD#87,
bNsPV,3r1rk1/p4p1p/2R1pQp1/7P/8/1P3PR1/P2pb1P1/6K1 w - - 0 26,h5h6 d2d1q g1h2 d1d4 f6d4 d8d4,1558,75,89,4247,advancedPawn crushing endgame long promotion,https://lichess.org/7eQ15Sb0#51,
h4Sr4,6k1/1pR4p/pB1p3b/P2Pp1q1/b3P3/2QB4/1PK1N3/5r2 w - - 16 33,b2b3 f1c1 c2b2 c1c3,1518,75,80,594,advantage middlegame short skewer,https://lichess.org/QY7J9O9T#65,
DQOFP,8/R5bk/6p1/3r1p1p/p6P/Pp6/1n4P1/1B2R2K b - - 0 45,h7h6 e1e7 d5d1 h1h2,1517,76,93,1964,crushing endgame master short,https://lichess.org/KI4p0C7c/black#90,
5Z6Ck,4r1k1/p1p2rpp/1p1b4/2p3B1/6R1/1Q5P/PP3qP1/5RK1 w - - 0 21,f1f2 e8e1 f2f1 e1f1,1429,95,30,29,mate mateIn2 middlegame pillsburysMate short,https://lichess.org/KgWMwsnU#41,
YpWkx,R4rk1/5ppp/8/1p6/5b2/1PKP1b2/1PP2Bq1/3QR3 b - - 3 24,f3d1 a8f8 g8f8 f2c5 f4d6 c5d6 f8g8 e1e8,1491,77,95,30450,attraction backRankMate mate mateIn4 middlegame veryLong,https://lichess.org/Jgq3d6BJ/black#48,
hTHHu,8/5k1p/1R1nr3/P3p3/1P2P3/6P1/7P/6K1 b - - 0 40,d6e4 b6e6 f7e6 a5a6,1465,84,81,35,crushing endgame short,https://lichess.org/DZQQowtX/black#80,
6YHbX,2rq1rk1/1p3pb1/pn1p2nR/2pPp1N1/4P1P1/2N2P2/PPP4Q/1K5R b - - 0 22,d8g5 h6h8 g6h8 h2h7,1437,76,95,1018,clearance kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/LDqLEtFp/black#44,
dbApp,2r5/3R4/pkn2Q2/8/1qp1p3/1P2P1BP/2K2PP1/8 w - - 0 40,f6c3 c4b3 c2b2 b4c3,1593,75,96,1694,advantage endgame short,https://lichess.org/niCYyPmD#79,
6N07q,r1b1r3/p1p2kb1/1p4pp/3P1p2/4pP2/1P1B4/PBP3PP/4RRK1 w - - 0 19,d3b5 g7b2 b5e8 f7e8,1524,75,93,2710,crushing middlegame short,https://lichess.org/kTmNE1dN#37,Pirc_Defense Pirc_Defense_Other_variations
sySPL,r1b1kb1r/pp1p1ppp/1q2p3/1B2N3/P2p1P2/2P5/1P3PPP/R2QK2R b KQkq - 0 11,f7f6 d1h5 g7g6 e5g6 h7g6 h5h8,1456,75,93,4674,advantage long middlegame,https://lichess.org/gA25KrVE/black#22,Indian_Defense Indian_Defense_Other_variations
Jq3mu,r2q1rk1/ppp2ppp/2np1b2/7b/5B2/2PB1N1P/PPP2PP1/R2QR1K1 w - - 3 13,d3h7 g8h7 f3g5 f6g5 d1h5 g5h6,1478,76,72,81,advantage hangingPiece long opening,https://lichess.org/bBOhqmeb#25,Russian_Game Russian_Game_Other_variations
FUxuo,8/1B1R2kp/p5p1/1pp5/4N3/5qPb/PP3P1P/6K1 b - - 4 29,g7h6 d7h7 h6h7 e4g5,1501,76,86,89,attraction crushing endgame sacrifice short,https://lichess.org/ECMn8aqk/black#58,
4aUMc,3r1rk1/7p/R2N2p1/2p1p3/1p1nRP1q/1P1P3P/2PQ2P1/7K w - - 0 29,f4e5 f8f1 h1h2 d4f3 g2f3 f1f2 d2f2 h4f2,1445,75,92,9861,crushing fork middlegame sacrifice veryLong,https://lichess.org/kflmI6h5#57,
FODIm,r2q4/6k1/4Q1pn/1p1pPr1P/1PbP1P2/P3B1K1/8/2R4R b - - 0 38,f5h5 h1h5 g6h5 f4f5 h6f5 e6f5,1591,76,88,86,crushing long master middlegame quietMove,https://lichess.org/4RLjc6gM/black#76,
